,,,DBN,School Name,School Type,Enrollment,Impact Score,Performance Score,Instruction and Performance - Rating,Safety and School Climate - Rating,Relationships with Families - Rating,Instruction/Learning Environment - School Percent Positive,Advising and Planning - School Percent Positive,Safety - School Percent Positive,School Leadership - School Percent Positive,Student Support - School Percent Positive,Teaching Environment - School Percent Positive,Communication - School Percent Positive,Family Involvement - School Percent Positive,Family-School Trust - School Percent Positive,Average Incoming ELA Proficiency (Based on 5th Grade),Average Incoming Math Proficiency (Based on 5th Grade),Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Percentage of students recommended for general ed settings with Special Ed Teacher Support Services (SETSS),Percentage of students recommended for Integrated Co-Teaching (ICT) services,Percentage of students recommended for Special Class (SC) services,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Student Percent - Asian,Student Percent - Black,Student Percent - Hispanic,Student Percent - Native American,Student Percent - Native Hawaiian or Pacific Islander,Student Percent - White,Teacher Percent - Asian,Teacher Percent - Black,Teacher Percent - Hispanic,Teacher Percent - Native American,Teacher Percent - Native Hawaiian or Pacific Islander,Teacher Percent - White,Nearby Student Distance (mi),Nearby Student Percent - Asian,Nearby Student Percent - Black,Nearby Student Percent - Hispanic,Nearby Student Percent - Native American,Nearby Student Percent - Native Hawaiian or Pacific Islander,Nearby Student Percent - White,District Percent - Asian,District Percent - Black,District Percent - Hispanic,District Percent - Native American,District Percent - Native Hawaiian or Pacific Islander,District Percent - White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Average Student Attendance,Percentage of Students with >90% Attendance,Teacher Attendance Rate,Percentage of students with IEPs receiving all recommended special education programs,Percentage of students with IEPs receiving some recommended special education programs,Percentage of students with IEPs receiving no recommended special education programs,Percentage of students with IEPs receiving all recommended related services,Percentage of students with IEPs receiving some recommended related services,Percentage of students with IEPs receiving no recommended related services
,,,24Q012,P.S. 012 James B. Colgate,Elementary,845,0.52,0.58,Good,Good,Excellent,0.8,1,0.84,0.87,0.88,0.88,0.97,0.91,0.98,,,0.44,0.56,0,0.388,0.17,0.012,0.076,0.073,0.815,0.155,0.738,0.553,0.006,0.386,0.011,0,0.03,N<5,N<5,N<5,0,0,0.875,0.3,0.551,0.009,0.392,0.01,0,0.022,0.152,0.016,0.733,0.007,0.001,0.084,3.7,0.953,0.932,0.767,0.962,0.92,0.08,0,0.93,0.02,0.05
,,,24Q013,P.S. 013 Clement C. Moore,Elementary,884,0.57,0.59,Good,Good,Good,0.83,0.92,0.89,0.88,0.84,0.9,0.96,0.89,0.94,,,0.511,0.489,0,0.368,0.21,0,0.076,0.127,0.851,0.219,0.767,0.242,0.078,0.623,0.007,0,0.046,0.14,N<5,0.256,0,0,0.57,0.3,0.294,0.091,0.556,0.011,0,0.04,0.152,0.016,0.733,0.007,0.001,0.084,0.5,0.849,0.928,0.719,0.963,0.95,0.05,0,0.98,0,0.02
,,,24Q014,P.S. 014 Fairview,Elementary,1032,0.3,0.2,Needs Improvement,Fair,Good,0.72,0.73,0.65,0.76,0.74,0.77,0.92,0.83,0.96,,,0.496,0.504,0,0.643,0.175,0,0.08,0.076,0.893,0.214,0.779,0.024,0.008,0.942,0.007,0,0.016,0.085,N<5,0.309,N<5,0,0.543,0.2,0.031,0.012,0.919,0.008,0,0.027,0.152,0.016,0.733,0.007,0.001,0.084,10.1,0.904,0.912,0.661,0.958,0.97,N/A,N/A,0.95,N/A,N/A
,,,24Q016,P.S. Q016 The Nancy DeBenedittis School,Elementary,1014,0.41,0.29,Fair,Good,Good,0.89,0.9,0.76,0.86,0.93,0.89,0.96,0.89,0.96,,,0.502,0.498,0,0.589,0.16,0.001,0.065,0.066,0.944,0.511,0.796,0.009,0.002,0.979,0.003,0,0.006,N<5,N<5,0.265,0,0,0.663,0.2,0.018,0.005,0.97,0.002,0,0.004,0.152,0.016,0.733,0.007,0.001,0.084,0.1,0.976,0.937,0.782,0.954,0.96,N/A,N/A,0.97,N/A,N/A
,,,24Q019,P.S. 019 Marino Jeantet,Elementary,1534,0.43,0.27,Fair,Good,Good,0.77,0.88,0.76,0.85,0.84,0.89,0.95,0.9,0.95,,,0.488,0.512,0,0.709,0.27,0.03,0.126,0.097,0.918,0.278,0.808,0.02,0,0.97,0.003,0,0.008,0.041,N<5,0.331,0,0,0.608,0.3,0.03,0.003,0.957,0.004,0,0.005,0.152,0.016,0.733,0.007,0.001,0.084,3.9,0.885,0.939,0.796,0.951,0.94,0.04,0.02,0.94,0.03,0.03
,,,24Q049,P.S. 049 Dorothy Bonawit Kole,K-8,1220,0.42,0.59,Good,,Excellent,,,,,,,0.98,0.93,0.98,,,0.506,0.493,0.001,0.093,0.179,0,0.115,0.049,0.477,0.075,0.432,0.241,0.006,0.303,0.002,0,0.42,0.064,N<5,0.103,0,0,0.795,0.4,0.249,0.007,0.218,0,0,0.502,0.174,0.016,0.681,0.006,0.002,0.112,10.5,0.821,0.938,0.818,0.965,0.96,N/A,N/A,0.99,N/A,N/A
,,,24Q058,P.S. 58 - The School of Heroes,Elementary,745,0.42,0.52,Fair,Good,Good,0.79,0.82,0.89,0.74,0.76,0.81,0.96,0.89,0.97,,,0.467,0.533,0,0.157,0.191,0.001,0.089,0.071,0.71,0.085,0.652,0.357,0.007,0.486,0.008,0.001,0.125,N<5,N<5,N<5,0,0,0.889,0.3,0.361,0.011,0.49,0.002,0,0.127,0.152,0.016,0.733,0.007,0.001,0.084,22.2,0.963,0.93,0.734,0.954,0.97,N/A,N/A,0.97,N/A,N/A
,,,24Q061,I.S. 061 Leonardo Da Vinci,Middle,2200,0.5,0.34,Good,Fair,Good,0.75,0.91,0.61,0.82,0.69,0.8,0.93,0.79,0.94,2.37,2.25,0.501,0.499,0,0.448,0.168,0.003,0.079,0.078,0.911,0.339,0.786,0.03,0.013,0.942,0.003,0,0.01,N<5,0.088,0.254,N<5,0,0.591,0.5,0.08,0.045,0.841,0.003,0.002,0.023,0.155,0.016,0.754,0.004,0.001,0.065,17.2,0.873,0.907,0.663,0.949,0.94,N/A,N/A,1,N/A,N/A
,,,24Q068,P.S. 068 Cambridge,Elementary,401,0.49,0.39,Good,Excellent,Excellent,0.84,0.57,0.97,0.9,0.9,0.96,0.97,0.93,0.96,,,0.516,0.484,0,0.287,0.279,0.007,0.112,0.137,0.804,0.192,0.716,0.025,0.027,0.848,0.007,0,0.072,N<5,N<5,N<5,0,0,0.881,0.2,0.057,0.036,0.758,0.008,0,0.122,0.152,0.016,0.733,0.007,0.001,0.084,18.1,0.929,0.912,0.686,0.954,0.99,N/A,N/A,0.91,N/A,N/A
,,,24Q071,P.S. 071 Forest,Elementary,456,0.44,0.46,Fair,Good,Excellent,0.91,1,0.89,0.94,0.96,0.95,0.97,0.92,0.96,,,0.489,0.511,0,0.283,0.145,0.002,0.112,0.015,0.737,0.129,0.636,0.042,0.007,0.634,0.02,0.013,0.276,0,N<5,0.156,0,0,0.8,0.4,0.051,0.013,0.587,0.014,0.004,0.317,0.152,0.016,0.733,0.007,0.001,0.084,11.1,0.911,0.906,0.628,0.94,0.92,N/A,N/A,0.98,N/A,N/A
,,,24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,Middle,1647,0.54,0.62,Good,Good,Good,0.77,0.9,0.66,0.85,0.69,0.85,0.94,0.8,0.95,2.97,2.93,0.471,0.529,0,0.172,0.177,0.012,0.097,0.06,0.73,0.108,0.662,0.285,0.004,0.593,0.002,0.002,0.106,0.066,N<5,0.161,0,0,0.715,1,0.352,0.014,0.44,0.005,0.005,0.173,0.155,0.016,0.754,0.004,0.001,0.065,10.1,0.883,0.928,0.74,0.946,0.88,N/A,N/A,0.98,N/A,N/A
,,,24Q077,Joseph F. Quinn Intermediate School 77,Middle,610,0.44,0.35,Fair,Fair,Good,0.74,0.9,0.62,0.72,0.69,0.76,0.93,0.79,0.94,2.66,2.5,0.454,0.546,0,0.338,0.266,0.003,0.138,0.115,0.836,0.251,0.692,0.041,0.016,0.889,0.003,0,0.049,0.107,0.089,0.107,0,0,0.679,0.4,0.065,0.034,0.78,0.004,0,0.11,0.155,0.016,0.754,0.004,0.001,0.065,1.6,0.857,0.908,0.663,0.951,0.99,N/A,N/A,0.98,N/A,N/A
,,,24Q081,P.S. 81Q Jean Paul Richter,Elementary,630,0.47,0.39,Good,Excellent,Good,0.89,1,0.95,0.95,0.95,0.98,0.97,0.87,0.97,,,0.479,0.521,0,0.394,0.23,0.017,0.113,0.092,0.864,0.283,0.717,0.035,0.016,0.894,0,0,0.051,N<5,N<5,0.203,0,0,0.695,0.2,0.041,0.015,0.855,0.003,0,0.073,0.152,0.016,0.733,0.007,0.001,0.084,13,0.797,0.91,0.645,0.966,0.85,N/A,N/A,0.97,0,0.03
,,,24Q087,P.S./I.S. 087 Middle Village,K-8,480,0.43,0.62,Good,Fair,Excellent,0.73,0.9,0.63,0.82,0.63,0.86,0.98,0.96,0.95,,,0.496,0.504,0,0.15,0.275,0,0.138,0.11,0.674,0.081,0.615,0.073,0.008,0.617,0.008,0.002,0.273,N<5,N<5,0.115,N<5,0,0.712,0.3,0.06,0.013,0.61,0.005,0.003,0.288,0.174,0.016,0.681,0.006,0.002,0.112,19.5,0.769,0.908,0.633,0.957,0.98,N/A,N/A,0.96,N/A,N/A
,,,24Q088,P.S. 088 Seneca,Elementary,621,0.41,0.45,Fair,Excellent,Excellent,0.8,0.63,0.91,0.94,0.91,0.94,0.97,0.93,0.97,,,0.501,0.498,0.002,0.184,0.229,0,0.113,0.09,0.727,0.105,0.649,0.081,0.011,0.597,0.008,0,0.288,N<5,N<5,0.111,0,0,0.841,0.3,0.082,0.008,0.552,0.005,0,0.337,0.152,0.016,0.733,0.007,0.001,0.084,6.1,0.841,0.915,0.712,0.964,0.96,N/A,N/A,0.95,N/A,N/A
,,,24Q089,P.S. 89Q: The Jose Peralta School of Dreamers,Elementary,1121,0.43,0.39,Fair,Good,Excellent,0.82,0.92,0.78,0.89,0.91,0.92,0.97,0.92,0.96,,,0.47,0.53,0,0.526,0.211,0.005,0.107,0.086,0.87,0.184,0.809,0.188,0.006,0.781,0.002,0.001,0.015,0.135,0,0.225,0,0,0.622,0.2,0.29,0.008,0.665,0.007,0.001,0.021,0.152,0.016,0.733,0.007,0.001,0.084,9.1,0.901,0.919,0.692,0.957,0.89,0.11,0,0.98,N/A,N/A
,,,24Q091,P.S. 091 Richard Arkwright,Elementary,708,0.38,0.43,Fair,Good,Excellent,0.81,1,0.84,0.85,0.81,0.9,0.97,0.92,0.97,,,0.446,0.554,0,0.15,0.195,0.001,0.069,0.102,0.646,0.031,0.603,0.044,0.031,0.565,0.011,0.007,0.335,N<5,N<5,0.125,0,0,0.778,0.3,0.037,0.019,0.576,0.008,0.008,0.344,0.152,0.016,0.733,0.007,0.001,0.084,7.7,0.917,0.906,0.647,0.962,1,0,0,0.96,0,0.04
,,,24Q093,I.S. 093 Ridgewood,Middle,1008,0.46,0.42,Good,Excellent,Good,0.77,0.89,0.63,0.91,0.71,0.91,0.94,0.85,0.94,2.62,2.55,0.461,0.539,0,0.296,0.217,0.014,0.122,0.078,0.779,0.186,0.67,0.051,0.013,0.772,0.004,0.002,0.153,N<5,0.08,0.159,0,0,0.682,0.5,0.052,0.017,0.708,0.007,0.001,0.203,0.155,0.016,0.754,0.004,0.001,0.065,17.1,0.83,0.912,0.69,0.965,0.99,N/A,N/A,0.97,0,0.03
,,,24Q102,P.S. 102 Bayview,K-8,1126,0.51,0.63,Good,Good,Good,0.74,0.9,0.69,0.79,0.75,0.82,0.96,0.88,0.98,,,0.488,0.512,0,0.236,0.155,0,0.083,0.054,0.74,0.117,0.663,0.585,0.02,0.35,0.004,0.012,0.015,0.161,N<5,0.075,N<5,0,0.699,0.3,0.6,0.006,0.34,0.002,0.016,0.026,0.174,0.016,0.681,0.006,0.002,0.112,6.5,0.903,0.933,0.77,0.958,0.95,0.05,0,0.94,0.04,0.02
,,,24Q110,P.S. 110,Elementary,849,0.5,0.4,Fair,Good,Excellent,0.81,0.73,0.75,0.88,0.86,0.88,0.97,0.95,0.98,,,0.511,0.489,0,0.561,0.216,0.004,0.09,0.1,0.909,0.291,0.787,0.035,0,0.947,0.005,0,0.013,0.101,0,0.275,N<5,0,0.594,0.2,0.052,0.004,0.929,0.005,0,0.008,0.152,0.016,0.733,0.007,0.001,0.084,8.1,0.812,0.93,0.753,0.966,0.9,N/A,N/A,0.95,0,0.05
,,,24Q113,P.S./I.S. 113 Anthony J. Pranzo,K-8,760,0.5,0.6,Good,Excellent,Good,0.9,0.98,0.9,0.88,0.87,0.92,0.95,0.93,0.95,,,0.463,0.537,0,0.092,0.141,0.003,0.076,0.046,0.475,0.079,0.4,0.113,0.018,0.437,0.008,0,0.404,N<5,0,0.154,0,0,0.788,0.3,0.134,0.017,0.435,0.006,0,0.387,0.174,0.016,0.681,0.006,0.002,0.112,12.4,0.846,0.938,0.819,0.957,0.97,N/A,N/A,0.96,0,0.04
,,,24Q119,P.S./I.S. 119 The Glendale,K-8,1201,0.5,0.74,Good,Excellent,Excellent,0.79,0.87,0.57,0.89,0.67,0.91,0.96,0.92,0.97,,,0.492,0.508,0,0.095,0.109,0.002,0.061,0.018,0.545,0.097,0.474,0.311,0.014,0.317,0.006,0.001,0.325,0.1,N<5,0.063,0,0,0.788,0.8,0.064,0.018,0.529,0.006,0.002,0.362,0.174,0.016,0.681,0.006,0.002,0.112,3.5,0.913,0.931,0.767,0.963,0.98,N/A,N/A,0.98,N/A,N/A
,,,24Q125,I.S. 125 Thom J. McCann Woodside,Middle,1508,0.43,0.48,Fair,Good,Good,0.71,0.9,0.55,0.79,0.64,0.8,0.91,0.8,0.94,2.76,2.72,0.489,0.51,0.001,0.261,0.198,0.027,0.098,0.066,0.815,0.19,0.746,0.271,0.016,0.651,0.008,0.002,0.044,0.065,0.049,0.138,0,0,0.748,0.9,0.242,0.011,0.562,0.014,0.001,0.145,0.155,0.016,0.754,0.004,0.001,0.065,3,0.911,0.916,0.707,0.956,0.96,N/A,N/A,0.97,0,0.03
,,,24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",K-8,632,0.37,0.61,Good,Good,Good,0.73,0.77,0.54,0.68,0.6,0.74,0.95,0.94,0.92,,,0.468,0.532,0,0.068,0.176,0.006,0.087,0.055,0.43,0.054,0.383,0.079,0.017,0.271,0.005,0.003,0.6,N<5,N<5,0.13,0,0,0.739,0.3,0.118,0.008,0.288,0.008,0.003,0.548,0.174,0.016,0.681,0.006,0.002,0.112,3.7,0.957,0.931,0.769,0.961,0.99,N/A,N/A,1,0,0
,,,24Q143,P.S. 143 Louis Armstrong,Elementary,1439,0.36,0.23,Fair,Excellent,Excellent,0.95,1,0.94,0.95,0.98,0.97,0.98,0.91,0.97,,,0.496,0.504,0,0.693,0.197,0,0.1,0.076,0.901,0.318,0.789,0.018,0.015,0.953,0.004,0,0.008,0.07,N<5,0.45,N<5,N<5,0.457,0.3,0.029,0.042,0.912,0.005,0,0.009,0.152,0.016,0.733,0.007,0.001,0.084,5.8,0.822,0.924,0.721,0.946,1,0,0,0.97,0,0.03
,,,24Q153,P.S. 153 Maspeth Elem,Elementary,740,0.48,0.54,Fair,Good,Excellent,0.78,1,0.83,0.85,0.84,0.91,0.97,0.93,0.97,,,0.503,0.497,0,0.2,0.168,0.004,0.114,0.032,0.645,0.05,0.569,0.147,0.008,0.457,0.007,0,0.376,N<5,0,0.12,0,0,0.827,0.4,0.082,0.011,0.556,0.011,0.001,0.319,0.152,0.016,0.733,0.007,0.001,0.084,9,0.92,0.918,0.7,0.953,0.99,N/A,N/A,0.95,0.03,0.02
,,,24Q199,P.S. 199 Maurice A. Fitzgerald,Elementary,545,0.4,0.38,Fair,Fair,Good,0.73,0.81,0.75,0.75,0.84,0.78,0.95,0.89,0.95,,,0.503,0.497,0,0.538,0.189,0.006,0.099,0.051,0.841,0.244,0.765,0.217,0.015,0.664,0.006,0.002,0.084,N<5,0,0.149,0,0,0.723,0.3,0.219,0.024,0.525,0.005,0,0.193,0.152,0.016,0.733,0.007,0.001,0.084,5.1,0.766,0.907,0.617,0.957,0.99,N/A,N/A,0.99,N/A,N/A
,,,24Q211,Elm Tree Elementary School,Elementary,797,0.47,0.34,Fair,Good,Excellent,0.79,0.94,0.73,0.83,0.73,0.86,0.97,0.92,0.98,,,0.527,0.473,0,0.59,0.203,0,0.125,0.061,0.924,0.483,0.765,0.061,0.033,0.88,0.005,0,0.021,N<5,N<5,0.453,N<5,N<5,0.493,0.2,0.119,0.052,0.799,0.009,0,0.02,0.152,0.016,0.733,0.007,0.001,0.084,6.9,0.72,0.925,0.713,0.972,0.98,N/A,N/A,0.99,N/A,N/A
,,,24Q229,P.S. 229 Emanuel Kaplan,Elementary,1063,0.49,0.57,Good,Good,Good,0.77,0.94,0.85,0.81,0.85,0.86,0.94,0.91,0.96,,,0.502,0.498,0,0.169,0.214,0.013,0.102,0.077,0.687,0.119,0.626,0.387,0.014,0.46,0.007,0.002,0.123,0.073,N<5,0.11,0,0,0.78,0.4,0.375,0.006,0.499,0.003,0.004,0.106,0.152,0.016,0.733,0.007,0.001,0.084,7.6,0.902,0.927,0.729,0.958,0.97,N/A,N/A,0.96,0.02,0.02
,,,24Q239,P.S. 239,Elementary,368,0.42,0.34,Fair,Good,Excellent,0.84,1,0.9,0.84,0.87,0.86,0.97,0.93,0.98,,,0.486,0.514,0,0.427,0.255,0.005,0.13,0.095,0.834,0.234,0.728,0.057,0.033,0.818,0.008,0,0.082,0,N<5,N<5,0,0,0.833,0.3,0.077,0.021,0.761,0.009,0,0.113,0.152,0.016,0.733,0.007,0.001,0.084,3,0.944,0.924,0.717,0.954,0.87,N/A,N/A,0.89,0,0.11
,,,24Q290,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,Elementary,528,0.5,0.57,Good,Excellent,Good,0.88,1,0.93,0.92,0.94,0.9,0.95,0.92,0.95,,,0.508,0.492,0,0.157,0.176,0.023,0.112,0.006,0.632,0.07,0.534,0.089,0.006,0.551,0,0,0.314,0,N<5,0.194,0,0,0.667,0.5,0.046,0.012,0.639,0.009,0.003,0.272,0.152,0.016,0.733,0.007,0.001,0.084,0.1,0.944,0.935,0.8,0.958,0.96,N/A,N/A,0.94,0,0.06
,,,24Q305,Learners and Leaders,Elementary,387,0.47,0.42,Good,Good,Excellent,0.81,,0.84,0.87,0.83,0.89,0.96,0.93,0.96,,,0.512,0.488,0,0.349,0.297,0.003,0.121,0.147,0.807,0.23,0.685,0.065,0.016,0.796,0.016,0,0.088,N<5,N<5,0.317,0,0,0.585,0.3,0.08,0.013,0.776,0.007,0.005,0.101,0.152,0.016,0.733,0.007,0.001,0.084,2.2,0.854,0.917,0.658,0.948,0.96,N/A,N/A,0.99,N/A,N/A
,,,24Q307,Pioneer Academy,Elementary,692,0.5,0.38,Good,,Excellent,,,,,,,0.97,0.91,0.98,,,0.514,0.486,0,0.523,0.195,0.003,0.082,0.094,0.903,0.22,0.79,0.014,0.006,0.971,0.003,0,0.004,N<5,0.234,0.344,N<5,0,0.297,0.2,0.022,0.002,0.966,0.002,0,0.005,0.152,0.016,0.733,0.007,0.001,0.084,16.2,0.734,0.941,0.804,0.971,0.92,N/A,N/A,1,N/A,N/A
,,,24Q311,Corona Arts & Sciences Academy,Middle,739,0.34,0.29,Fair,Good,Good,0.72,0.87,0.64,0.83,0.69,0.8,0.92,0.81,0.94,2.51,2.39,0.468,0.532,0,0.352,0.215,0.011,0.111,0.085,0.932,0.292,0.825,0.008,0.003,0.984,0,0.001,0.004,0.077,N<5,0.372,N<5,N<5,0.5,0.4,0.058,0,0.932,0.002,0.002,0.005,0.155,0.016,0.754,0.004,0.001,0.065,11.2,0.705,0.939,0.814,0.955,0.71,0.29,0,0.97,N/A,N/A
,,,24Q330,Helen M. Marshall School,Elementary,503,0.49,0.36,Fair,Good,Good,0.77,0.75,0.73,0.81,0.77,0.79,0.93,0.9,0.95,,,0.497,0.503,0,0.543,0.173,0.004,0.07,0.082,0.931,0.515,0.775,0.028,0.032,0.922,0.002,0,0.006,N<5,N<5,0.317,0,0,0.415,0.2,0.027,0.033,0.922,0.004,0,0.011,0.152,0.016,0.733,0.007,0.001,0.084,8.1,0.902,0.903,0.619,0.94,0.93,N/A,N/A,0.97,N/A,N/A
,,,24Q343,The Children's Lab School,Elementary,461,0.57,0.57,Good,Excellent,Excellent,0.84,0.79,0.83,0.93,0.93,0.89,0.97,0.95,0.98,,,0.469,0.529,0.002,0.28,0.262,0.03,0.132,0.067,0.679,0.126,0.614,0.213,0.015,0.568,0.007,0.002,0.167,N<5,N<5,0.233,0,0,0.605,0.3,0.207,0.011,0.52,0.007,0.003,0.219,0.152,0.016,0.733,0.007,0.001,0.084,10.2,0.837,0.923,0.744,0.961,0.94,0.06,0,0.96,0,0.04
,,,24Q419,MS 419,Middle,399,0.44,0.33,Fair,Good,Good,0.75,0.91,0.63,0.86,0.7,0.85,0.94,0.87,0.95,2.43,2.32,0.491,0.509,0,0.451,0.165,0.003,0.093,0.055,0.917,0.411,0.767,0.025,0.023,0.942,0.005,0,0.005,N<5,N<5,0.469,0,0,0.344,0.3,0.023,0.04,0.915,0.004,0.002,0.011,0.155,0.016,0.754,0.004,0.001,0.065,2.2,0.344,0.934,0.776,0.969,0.95,N/A,N/A,0.91,0,0.09
,,,24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",Middle,151,0.46,0.7,Excellent,Good,Good,0.78,0.83,0.71,0.74,0.67,0.68,0.94,0.86,0.96,3.19,3.19,0.477,0.523,0,0.06,0.238,0.007,0.159,0.06,0.665,0.075,0.669,0.265,0.026,0.47,0.013,0,0.192,N<5,N<5,0.122,0,0,0.634,2,0.186,0.084,0.449,0.011,0.004,0.233,0.155,0.016,0.754,0.004,0.001,0.065,9.1,0.805,0.945,0.856,0.949,0.96,N/A,N/A,0.89,0,0.11
,,,25Q020,P.S. 020 John Bowne,Elementary,928,0.47,0.54,Fair,Good,Excellent,0.81,1,0.77,0.88,0.95,0.9,0.97,0.88,0.98,,,0.484,0.516,0,0.494,0.127,0.008,0.066,0.034,0.825,0.077,0.754,0.655,0.031,0.26,0.005,0.001,0.028,0.244,N<5,0.064,0,0,0.654,0.3,0.749,0.008,0.186,0.009,0.003,0.028,0.534,0.031,0.321,0.006,0.001,0.09,2.2,0.91,0.929,0.752,0.965,0.98,N/A,N/A,0.97,N/A,N/A
,,,25Q021,P.S. 021 Edward Hart,Elementary,1036,0.55,0.62,Good,Good,Excellent,0.83,0.78,0.77,0.72,0.87,0.8,0.96,0.93,0.98,,,0.498,0.502,0,0.278,0.145,0.002,0.067,0.06,0.736,0.142,0.637,0.576,0.011,0.336,0.004,0,0.056,0.216,0,0.08,0,0,0.659,0.5,0.643,0.006,0.237,0.003,0,0.1,0.534,0.031,0.321,0.006,0.001,0.09,8.2,0.932,0.941,0.789,0.965,0.97,N/A,N/A,0.98,N/A,N/A
,,,25Q022,P.S. 022 Thomas Jefferson,Elementary,720,0.62,0.63,Good,Good,Excellent,0.82,0.86,0.88,0.74,0.92,0.75,0.98,0.93,0.98,,,0.467,0.533,0,0.494,0.169,0.001,0.083,0.061,0.803,0.101,0.715,0.551,0.007,0.4,0.004,0.004,0.021,0.238,N<5,0.079,0,0,0.651,0.3,0.448,0.014,0.484,0.005,0.003,0.036,0.534,0.031,0.321,0.006,0.001,0.09,10.6,0.873,0.948,0.855,0.958,0.98,N/A,N/A,0.98,N/A,N/A
,,,25Q024,P.S. 024 Andrew Jackson,Elementary,1133,0.62,0.71,Excellent,Excellent,Excellent,0.86,0.95,0.85,0.94,0.92,0.92,0.97,0.91,0.98,,,0.474,0.526,0,0.393,0.123,0.006,0.058,0.046,0.791,0.061,0.719,0.84,0.01,0.125,0.003,0,0.012,0.318,N<5,N<5,0,0,0.576,0.3,0.813,0.018,0.144,0.003,0,0.012,0.534,0.031,0.321,0.006,0.001,0.09,1,0.718,0.952,0.855,0.967,0.97,N/A,N/A,0.99,N/A,N/A
,,,25Q025,I.S. 025 Adrien Block,Middle,1048,0.51,0.74,Excellent,Good,Good,0.68,0.82,0.68,0.6,0.65,0.57,0.9,0.79,0.93,3.16,3.29,0.488,0.512,0,0.14,0.15,0.006,0.094,0.041,0.599,0.089,0.531,0.589,0.01,0.294,0.006,0.003,0.08,0.194,N<5,0.097,N<5,0,0.639,0.7,0.59,0.013,0.27,0.005,0.001,0.106,0.519,0.033,0.328,0.004,0.002,0.1,2,0.903,0.955,0.862,0.958,0.97,N/A,N/A,0.93,N/A,N/A
,,,25Q029,P.S. 029 Queens,Elementary,682,0.42,0.43,Fair,Excellent,Excellent,0.93,1,0.94,0.97,0.99,0.96,0.98,0.9,0.98,,,0.484,0.516,0,0.39,0.211,0.001,0.123,0.063,0.792,0.088,0.73,0.21,0.018,0.699,0.001,0,0.067,N<5,N<5,0.125,N<5,N<5,0.839,0.3,0.31,0.017,0.597,0.007,0,0.062,0.534,0.031,0.321,0.006,0.001,0.09,10.9,0.893,0.923,0.717,0.965,0.98,N/A,N/A,1,N/A,N/A
,,,25Q032,P.S. 032 State Street,Elementary,839,0.54,0.66,Good,Good,Excellent,0.84,0.96,0.83,0.83,0.86,0.86,0.98,0.94,0.98,,,0.499,0.501,0,0.175,0.179,0,0.066,0.081,0.627,0.058,0.559,0.625,0.004,0.265,0.006,0.004,0.067,0.164,0,0.082,0,0,0.705,0.6,0.584,0.005,0.283,0.004,0.002,0.1,0.534,0.031,0.321,0.006,0.001,0.09,13.9,0.951,0.952,0.862,0.969,0.95,N/A,N/A,0.97,0,0.03
,,,25Q079,P.S. 079 Francis Lewis,Elementary,1004,0.67,0.82,Excellent,Excellent,Excellent,0.88,0.85,0.91,0.94,0.94,0.97,0.99,0.95,0.98,,,0.476,0.524,0,0.187,0.174,0,0.123,0.042,0.575,0.028,0.524,0.607,0.017,0.219,0.004,0.003,0.141,0.072,0,N<5,0,0,0.884,0.5,0.496,0.016,0.263,0.005,0.001,0.218,0.534,0.031,0.321,0.006,0.001,0.09,9.8,0.87,0.947,0.848,0.969,0.96,N/A,N/A,0.97,0,0.03
,,,25Q107,P.S. 107 Thomas A Dooley,Elementary,776,0.41,0.47,Fair,Good,Good,0.77,0.86,0.84,0.62,0.8,0.75,0.92,0.85,0.92,,,0.47,0.53,0,0.419,0.153,0.005,0.059,0.062,0.729,0.113,0.638,0.481,0.01,0.455,0.009,0.001,0.036,0.188,0,0.141,0,0,0.641,0.4,0.482,0.006,0.441,0.01,0.002,0.048,0.534,0.031,0.321,0.006,0.001,0.09,12,0.875,0.94,0.801,0.95,0.86,N/A,N/A,0.97,N/A,N/A
,,,25Q120,P.S. 120 Queens,Elementary,720,0.53,0.57,Good,Good,Good,0.83,0.75,0.88,0.86,0.87,0.87,0.95,0.89,0.98,,,0.472,0.528,0,0.558,0.157,0.003,0.071,0.068,0.859,0.104,0.76,0.671,0.003,0.297,0.006,0,0.015,0.123,0,0.088,0,0,0.789,0.3,0.68,0,0.29,0.005,0,0.017,0.534,0.031,0.321,0.006,0.001,0.09,9.2,0.842,0.935,0.779,0.962,1,0,0,0.99,N/A,N/A
,,,25Q129,P.S. 129 Patricia Larkin,Elementary,1062,0.48,0.47,Fair,Good,Good,0.74,0.79,0.74,0.77,0.89,0.8,0.96,0.87,0.97,,,0.476,0.524,0,0.347,0.202,0,0.116,0.081,0.77,0.109,0.716,0.249,0.012,0.646,0.011,0.001,0.073,0.095,N<5,0.116,0,0,0.737,0.4,0.287,0.014,0.596,0.009,0,0.084,0.534,0.031,0.321,0.006,0.001,0.09,1,0.8,0.915,0.665,0.959,0.97,0.03,0,0.98,N/A,N/A
