,,,DBN,School Name,School Type,Enrollment,Impact Score,Performance Score,Instruction and Performance - Rating,Safety and School Climate - Rating,Relationships with Families - Rating,Instruction/Learning Environment - School Percent Positive,Advising and Planning - School Percent Positive,Safety - School Percent Positive,School Leadership - School Percent Positive,Student Support - School Percent Positive,Teaching Environment - School Percent Positive,Communication - School Percent Positive,Family Involvement - School Percent Positive,Family-School Trust - School Percent Positive,Average Incoming ELA Proficiency (Based on 5th Grade),Average Incoming Math Proficiency (Based on 5th Grade),Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Percentage of students recommended for general ed settings with Special Ed Teacher Support Services (SETSS),Percentage of students recommended for Integrated Co-Teaching (ICT) services,Percentage of students recommended for Special Class (SC) services,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Student Percent - Asian,Student Percent - Black,Student Percent - Hispanic,Student Percent - Native American,Student Percent - Native Hawaiian or Pacific Islander,Student Percent - White,Teacher Percent - Asian,Teacher Percent - Black,Teacher Percent - Hispanic,Teacher Percent - Native American,Teacher Percent - Native Hawaiian or Pacific Islander,Teacher Percent - White,Nearby Student Distance (mi),Nearby Student Percent - Asian,Nearby Student Percent - Black,Nearby Student Percent - Hispanic,Nearby Student Percent - Native American,Nearby Student Percent - Native Hawaiian or Pacific Islander,Nearby Student Percent - White,District Percent - Asian,District Percent - Black,District Percent - Hispanic,District Percent - Native American,District Percent - Native Hawaiian or Pacific Islander,District Percent - White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Average Student Attendance,Percentage of Students with >90% Attendance,Teacher Attendance Rate,Percentage of students with IEPs receiving all recommended special education programs,Percentage of students with IEPs receiving some recommended special education programs,Percentage of students with IEPs receiving no recommended special education programs,Percentage of students with IEPs receiving all recommended related services,Percentage of students with IEPs receiving some recommended related services,Percentage of students with IEPs receiving no recommended related services
,,,01M839,Tompkins Square Middle School,Middle,328,0.52,0.54,Good,Good,Good,0.81,0.92,0.61,0.83,0.74,0.83,0.92,0.92,0.88,2.75,2.55,0.512,0.488,0,0.034,0.363,0,0.332,0.006,0.724,0.149,0.628,0.088,0.165,0.53,0.003,0,0.186,N<5,0.161,N<5,0,0,0.645,0.4,0.12,0.204,0.543,0.012,0.003,0.098,0.07,0.188,0.573,0.006,0.002,0.128,16.1,0.807,0.913,0.676,0.947,0.96,N/A,N/A,1,0,0
,,,02M001,P.S. 001 Alfred E. Smith,Elementary,172,0.45,0.43,Fair,Fair,Excellent,0.76,,0.68,0.77,0.69,0.83,0.95,0.95,0.97,,,0.419,0.581,0,0.291,0.302,0.012,0.203,0.041,0.867,0.192,0.808,0.314,0.238,0.36,0.023,0.006,0.035,0.6,N<5,N<5,0,0,0.24,0.2,0.708,0.075,0.143,0.002,0.002,0.027,0.237,0.065,0.23,0.006,0.002,0.383,0,0.64,0.882,0.505,0.967,0.98,N/A,N/A,0.97,N/A,N/A
,,,02M002,P.S. 002 Meyer London,Elementary,271,0.58,0.64,Good,Good,Excellent,0.85,1,0.82,0.95,0.83,0.95,0.99,0.94,0.97,,,0.458,0.542,0,0.255,0.339,0.011,0.214,0.063,0.891,0.137,0.845,0.498,0.148,0.295,0.007,0,0.048,0.421,N<5,0.132,0,0,0.342,0.1,0.418,0.233,0.267,0.012,0,0.039,0.237,0.065,0.23,0.006,0.002,0.383,8.2,0.974,0.909,0.576,0.962,0.99,N/A,N/A,0.96,N/A,N/A
,,,02M003,P.S. 003 Charrette School,Elementary,498,0.61,0.7,Excellent,Fair,Good,0.78,0.78,0.77,0.59,0.81,0.72,0.93,0.96,0.81,,,0.45,0.55,0,0.082,0.257,0.01,0.139,0.074,0.29,0.046,0.253,0.106,0.052,0.187,0.006,0.002,0.596,0.098,N<5,N<5,0,0,0.804,0.6,0.087,0.031,0.135,0.009,0.002,0.635,0.237,0.065,0.23,0.006,0.002,0.383,6.2,0.863,0.922,0.756,0.974,0.99,N/A,N/A,0.99,N/A,N/A
,,,02M006,P.S. 006 Lillie D. Blake,Elementary,499,0.77,0.88,Excellent,Excellent,Excellent,0.87,,0.86,0.89,0.95,0.89,0.97,0.96,0.94,,,0.513,0.487,0,0.038,0.212,0.048,0.112,0.002,0.101,0.006,0.074,0.168,0.016,0.122,0.002,0,0.631,N<5,N<5,0.146,0,0,0.732,0.2,0.158,0.007,0.136,0.007,0,0.629,0.237,0.065,0.23,0.006,0.002,0.383,18.1,0.707,0.944,0.866,0.963,1,0,0,0.96,0,0.04
,,,02M011,P.S. 011: The Sarah J. Garnet Elementary School,Elementary,724,0.66,0.78,Excellent,Good,Excellent,0.88,,0.77,0.88,0.93,0.89,0.98,0.98,0.97,,,0.477,0.523,0,0.133,0.128,0.019,0.068,0.01,0.421,0.144,0.334,0.149,0.066,0.312,0.003,0,0.401,N<5,N<5,0.13,0,0,0.778,0.4,0.126,0.138,0.344,0.009,0.001,0.326,0.237,0.065,0.23,0.006,0.002,0.383,19.2,0.815,0.919,0.732,0.953,0.92,N/A,N/A,1,0,0
,,,02M033,P.S. 033 Chelsea Prep,Elementary,595,0.54,0.6,Good,,,,,,,,,,,,,,0.482,0.518,0,0.237,0.163,0.005,0.071,0.049,0.588,0.255,0.528,0.18,0.138,0.398,0.01,0.005,0.197,N<5,N<5,0.227,0,0,0.614,0.8,0.102,0.131,0.49,0.01,0.001,0.218,0.237,0.065,0.23,0.006,0.002,0.383,9.2,0.75,0.887,0.61,0.95,0.94,N/A,N/A,0.98,N/A,N/A
,,,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,519,0.65,0.76,Excellent,Excellent,Excellent,0.83,,0.95,0.82,0.91,0.89,0.98,0.97,0.97,,,0.491,0.509,0,0.029,0.208,0.052,0.127,0.006,0.239,0.027,0.16,0.114,0.029,0.183,0,0.002,0.547,N<5,0,0.189,0,0,0.73,0.2,0.139,0.025,0.147,0.003,0,0.548,0.237,0.065,0.23,0.006,0.002,0.383,0,0.892,0.941,0.842,0.967,0.98,N/A,N/A,0.99,N/A,N/A
,,,02M041,P.S. 041 Greenwich Village,Elementary,407,0.71,0.82,Excellent,Excellent,Excellent,0.9,,0.88,0.87,0.91,0.92,0.97,0.97,0.96,,,0.482,0.518,0,0.029,0.197,0.025,0.147,0.005,0.104,0.025,0.088,0.071,0.022,0.133,0.002,0,0.627,0.229,0,N<5,0,0,0.657,0.4,0.095,0.023,0.148,0.008,0.004,0.601,0.237,0.065,0.23,0.006,0.002,0.383,2.2,0.886,0.938,0.855,0.961,0.98,N/A,N/A,0.98,N/A,N/A
,,,02M042,P.S. 042 Benjamin Altman,Elementary,418,0.61,0.71,Excellent,Excellent,Excellent,0.91,1,0.92,0.98,0.95,0.97,1,0.97,0.99,,,0.471,0.529,0,0.225,0.289,0,0.256,0.01,0.641,0.072,0.569,0.73,0.029,0.096,0.002,0,0.112,0.776,N<5,N<5,0,0,0.138,0.3,0.635,0.061,0.171,0.003,0,0.089,0.237,0.065,0.23,0.006,0.002,0.383,0,0.741,0.947,0.837,0.966,0.96,N/A,N/A,1,0,0
